ts,acc.x,acc.y,acc.z,acc.roll,acc.pitch,acc.impact,aqi.value,co2.ppm,co2.humidity,co2.temperature,env.humidity,env.temperature,gas.humidity,gas.pressure,gas.resistance,gas.temperature,gps.age,gps.alt,gps.lat,gps.lon,param,state,status,version,asset_id,config_ts,particles.mc_1p0,particles.mc_2p5,particles.mc_4p0,particles.nc_0p5,particles.nc_1p0,particles.nc_2p5,particles.nc_4p0,particles.mc_10p0,particles.nc_10p0,particles.typical_particle_size,fw_version.major,fw_version.minor,fw_version.patch
"2024-07-08, 9:10:01",0.059855044,0.30166942,10.125079,-1.7065815,0.33855343,0,105.15465,816,36.157,19.508,33.31299,21.603088,31.374,83.223,13309,22.36,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,3.3949127,4.2886047,4.851959,21.397097,26.209108,26.920534,27.096315,5.137116,27.027952,0.6121216,1,1,0
"2024-07-08, 9:11:02",0.05267244,0.29927522,10.132261,-1.6918457,0.2977189,0,104.95489,815,35.885,19.647,32.891846,21.713867,31.316,83.219,13352,22.47,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,3.1460724,3.9832916,4.511261,19.959597,24.251589,25.070436,25.234499,4.75174,25.241331,0.60336304,1,1,0
"2024-07-08, 9:12:03",0.047884032,0.29927522,10.132261,-1.6918458,0.27065396,0,105.49412,811,35.752,19.733,32.79419,21.734009,31.009,83.223,13411,22.58,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,3.6859283,4.705475,5.396759,23.1803,28.45569,29.340944,29.450808,5.6955876,29.46301,0.62731934,1,1,0
"2024-07-08, 9:13:03",0.05746084,0.30166942,10.120291,-1.7073885,0.3251652,0,104.71395,806,35.517,19.746,32.891846,21.734009,30.859,83.225,13506,22.65,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,3.501419,4.566437,5.288727,21.764284,26.98401,27.989382,28.119265,5.6363835,28.076292,0.64450073,1,1,0
"2024-07-08, 9:14:04",0.055066638,0.30406362,10.127473,-1.7197113,0.31139398,0,104.64568,805,35.427,19.711,32.79419,21.713867,30.817,83.227,13594,22.64,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,3.556961,4.698395,5.4963684,21.952272,27.226686,28.23401,28.396608,5.8603826,28.399534,0.63497925,1,1,0
"2024-07-08, 9:15:05",0.055066638,0.30166942,10.127473,-1.7061784,0.31139615,0,104.48052,802,35.333,19.741,32.70874,21.663513,30.769,83.231,13709,22.64,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,3.6543121,4.9343567,5.8122864,22.355593,27.991823,28.953249,29.130983,6.225739,29.205687,0.6354828,1,1,0
"2024-07-08, 9:16:06",0.05746084,0.30166942,10.1226845,-1.706985,0.3250884,0,103.8827,800,35.255,19.711,32.70874,21.653442,30.646,83.237,13790,22.62,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,3.502884,4.710968,5.5438538,21.427858,26.840944,27.86194,28.055788,5.913483,28.063108,0.6345978,1,1,0
"2024-07-08, 9:17:06",0.055066638,0.29927522,10.1226845,-1.6934454,0.31154552,0,104.894394,800,35.194,19.685,32.70874,21.653442,30.663,83.239,13918,22.6,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,4.148712,5.808014,6.9900208,24.700808,31.338505,32.64283,32.93287,7.561188,33.203365,0.6802521,1,1,0
"2024-07-08, 9:18:07",0.055066638,0.30406362,10.129868,-1.7193052,0.3113204,0,103.24574,798,35.086,19.687,32.611084,21.6333,30.625,83.233,14020,22.6,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,3.454605,4.7051086,5.5732727,21.00696,26.493288,27.450808,27.64905,5.9905095,27.682737,0.67904663,1,1,0
"2024-07-08, 9:19:08",0.055066638,0.30166942,10.1226845,-1.706985,0.3115433,0,102.50522,789,35.061,19.682,32.611084,21.6333,30.532,83.237,14104,22.6,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,3.4426422,4.743805,5.6544495,20.837526,26.200808,27.3678,27.377565,6.0531316,27.506956,0.67337036,1,1,0
